Longitude,Latitude,Sample_ID,Elevation,Slope,AR,TWI,HCP1,PRP1,HCP2,PRP2,NDVI,NDRE,TC,K40,U238,Th232,pH,SOM,P,K,Mg,Ca,Zn,Mn,CEC,SatK,SatMg,SatCa,RatioKMg
-80.178526,43.576979,12,337.46,1.46,131.34,6.46,5.55,3.16,3.02,3.26,0.76,0.53,393.52,401.36,21.3,21.99,6.9,2.9,21,127,164,1482,1.5,12.6,10,3.2,13,72,0.8
-80.179129,43.57651,13,337.28,2.61,153,5.76,4.75,2.91,3.9,2.69,0.75,0.52,401.47,377.35,26.4,20.65,6.8,2.9,22,138,160,1393,1.7,12.9,10,3.6,14,71,0.9
-80.179565,43.576104,14,336.4,2.23,178.64,6.62,5.75,3.61,2.51,3.72,0.77,0.56,403.02,396.97,15.73,23.09,7.1,3.2,30,181,218,1586,3.4,13.4,11,4.1,16,69,0.8
-80.179969,43.575867,15,336.05,1.35,278.04,6.43,6.71,4.39,3.27,4.52,0.76,0.55,398.89,388.73,16.59,21.55,7.1,3.4,40,220,250,1693,3.7,16.2,12,4.6,17,69,0.9
-80.179601,43.575297,16,338.69,7.71,338.9,3.18,9.09,5.85,5.34,6.73,0.77,0.55,393.69,384.23,24.5,20.57,7.4,3.2,47,224,281,1509,4.2,15.3,12,4.9,20,65,0.8
-80.178903,43.57563,17,337.77,3.7,326.97,4.49,6.86,4.29,3.81,4.8,0.73,0.52,397.08,408.23,20.51,21.71,7.1,3.4,31,224,242,1412,3.9,13.2,11,5.3,19,65,0.9
-80.178447,43.576017,18,337.65,3.04,277.06,4.68,6.05,3.4,5.66,3.98,0.75,0.52,397.53,410.17,22.05,21.57,6.8,2.7,23,166,154,1236,1.8,13.7,9,4.7,14,68,1.1
-80.177788,43.576426,19,338.43,4.17,308.15,4.21,6.87,4.56,4.28,4.67,0.78,0.56,371.32,338.35,20.5,18.92,7.4,3.4,26,206,291,1548,3.4,15.9,12,4.4,20,65,0.7
-80.177321,43.576823,20,339.73,13.13,291.01,3.16,5.61,3.65,2.88,3.87,0.75,0.53,386.94,398,10.89,20.95,7.6,2.9,36,158,266,1717,5.2,15.9,12,3.3,18,69,0.6
-80.176822,43.57711,21,341.66,4.81,304.92,3.67,6.54,3.97,3.05,4.21,0.74,0.48,392.86,390.3,19.04,21.19,7.1,3.8,19,107,304,1623,2.8,13.9,12,2.3,21,67,0.4
-80.176399,43.576811,22,344.97,15.67,304.79,2.81,7.55,4.5,4.68,4.81,0.69,0.49,389.52,409.94,15.32,21.2,7.6,3.4,27,109,304,1808,5.1,16.6,13,2.1,19,69,0.4
-80.176778,43.576467,23,345.45,7.43,273.99,3.16,6.8,3.93,4.57,4.49,0.77,0.56,386.74,386.52,18.82,19.33,7.4,3.2,26,121,174,1609,2.5,14.4,11,2.8,13,73,0.7
-80.177433,43.576135,24,341.6,8.36,264.01,3.87,6.57,3.85,5,4.26,0.74,0.53,346.53,306.7,16.85,20.14,7.7,3.4,25,200,275,1861,7.4,18.4,13,3.9,17,70,0.7
